distance,speed,brake_pressure
16,2,3.4400000000000004
17,2,3.1177622377622374
18,2,2.7817142857142856
19,2,2.416
20,2,1.9999999999999998
21,2,2.0000000000000004
22,2,2.0
23,2,1.9999999999999998
24,2,2.0000000000000004
25,2,2.0000000000000004
26,2,2.0000000000000004
27,2,1.9999999999999998
28,2,2.0
29,2,2.0000000000000004
30,2,1.9999999999999998
31,2,2.0000000000000004
32,2,2.0
33,2,1.9999999999999998
34,2,2.0
35,2,2.0
36,2,2.0
37,2,1.9999999999999998
38,2,2.0
39,2,2.0000000000000004
40,2,1.9999999999999998
41,2,2.0000000000000004
42,2,2.0
43,2,1.9999999999999998
44,2,2.0000000000000004
45,2,2.0000000000000004
46,2,2.0000000000000004
47,2,1.9999999999999998
48,2,2.0
49,2,2.0000000000000004
50,2,1.9999999999999998
51,2,2.0000000000000004
52,2,2.0
53,2,1.9999999999999998
54,2,2.0
55,2,2.0
56,2,2.0
57,2,1.9999999999999998
58,2,2.0
59,2,2.0000000000000004
60,2,1.9999999999999998
61,2,2.0000000000000004
62,2,2.0
63,2,1.9999999999999998
64,2,2.0000000000000004
65,2,2.0000000000000004
66,2,2.0000000000000004
67,2,1.9999999999999998
68,2,2.0
69,2,2.0000000000000004
70,2,1.9999999999999998
71,2,2.0000000000000004
72,2,2.0
73,2,1.9999999999999998
74,2,2.0
75,2,2.0
76,2,2.0000000000000004
77,2,2.0
78,2,2.0
79,2,2.0
80,2,1.9999999999999998
81,2,2.0
82,2,2.0
83,2,2.0
84,2,2.0000000000000004
85,2,2.0
86,2,2.0000000000000004
87,2,2.0
88,2,2.0000000000000004
89,2,2.0
90,2,2.0
91,2,2.0000000000000004
92,2,2.0
93,2,2.0
94,2,2.0
95,2,2.0
96,2,2.0
97,2,2.0000000000000004
0,3,6.000000000000001
1,3,6.000000000000001
2,3,6.000000000000001
3,3,6.0
4,3,6.000000000000001
5,3,6.0
6,3,6.000000000000001
7,3,6.0
8,3,6.0
9,3,5.999999999999999
10,3,6.0
11,3,5.376134453781513
12,3,4.879999999999999
13,3,4.4639999999999995
14,3,4.098285714285714
15,3,3.762237762237762
16,3,3.4400000000000004
17,3,3.1177622377622374
18,3,2.7817142857142856
19,3,2.416
20,3,1.9999999999999998
21,3,2.0000000000000004
22,3,2.0
23,3,1.9999999999999998
24,3,2.0000000000000004
25,3,2.0000000000000004
26,3,2.0000000000000004
27,3,1.9999999999999998
28,3,2.0
